-0.0217398,0.0048436
-0.0217948,0.0048564
-0.0218617,0.0048688
-0.0219077,0.0048824
-0.0219586,0.0048944
-0.022014,0.0049081
-0.0220661,0.0049204
-0.0221286,0.0049334
-0.022188,0.0049469
-0.022233,0.0049596
-0.0222923,0.0049696
-0.0223284,0.0049811
-0.0223814,0.004994
-0.0224346,0.0050068
-0.0224875,0.0050165
-0.0225456,0.0050277
-0.0226109,0.0050381
-0.0226781,0.0050623
-0.0227436,0.0050741
-0.022798,0.0050871
-0.0228532,0.0050936
-0.0229178,0.005117
-0.0229798,0.0051283
-0.0230331,0.00514
-0.0230738,0.0051498
-0.0321485,0.0071185
-0.0322139,0.0071271
-0.0322811,0.0071522
-0.0323579,0.0071633
-0.0324199,0.0071739
-0.0324838,0.0071973
-0.0325389,0.0072071
-0.0325913,0.007218
-0.0326459,0.0072313
-0.0326929,0.007242
-0.0327394,0.0072506
-0.0327972,0.0072621
-0.0328528,0.0072734
-0.032914,0.0072857
-0.0330132,0.007307
-0.0330742,0.0073193
-0.0331381,0.0073305
-0.0332385,0.0073526
